stage,clock,decisions,shots,base_hits,cleared,lost
1,0,1086,106,0,0,0
1,1,1086,114,0,0,0
2,0,1116,137,0,0,0
2,1,667,74,0,0,1
3,0,1056,115,0,0,0
3,1,1053,132,0,0,0
4,0,1116,147,0,0,0
4,1,1085,130,0,0,0
5,0,1055,106,0,0,0
5,1,898,97,0,1,0
6,0,1056,90,0,0,0
6,1,1024,112,0,1,0
7,0,1085,156,0,0,0
7,1,1115,175,0,0,0
8,0,1056,102,0,0,0
8,1,1054,100,0,0,0
9,0,1056,147,0,0,0
9,1,1049,109,0,1,0
10,0,1086,114,0,0,0
10,1,1055,109,0,0,0
11,0,1116,132,0,0,0
11,1,1086,177,0,0,0
12,0,1056,115,0,0,0
12,1,1053,109,0,0,0
13,0,1027,113,0,0,0
13,1,1085,147,0,0,0
14,0,1056,122,0,0,0
14,1,1084,120,0,0,0
15,0,1056,146,0,0,0
15,1,1086,124,0,0,0
16,0,1025,97,0,0,0
16,1,1054,96,0,0,0
17,0,1055,123,0,0,0
17,1,1023,120,0,0,0
18,0,1086,119,0,0,0
18,1,1053,132,0,0,0
19,0,1085,121,0,0,0
19,1,1084,132,0,0,0
20,0,1086,116,0,0,0
20,1,1055,99,0,0,0
21,0,1086,122,0,0,0
21,1,1054,112,0,0,0
22,0,1056,124,0,0,0
22,1,1056,108,0,0,0
23,0,1086,135,0,0,0
23,1,1084,131,0,0,0
24,0,1056,103,0,0,0
24,1,769,61,0,0,1
25,0,898,133,0,0,1
25,1,1105,164,0,0,0
26,0,1055,144,0,0,0
26,1,1053,135,0,0,0
27,0,1055,156,0,0,0
27,1,1086,177,0,0,0
28,0,1055,99,0,0,0
28,1,1086,79,0,0,0
29,0,1052,105,0,0,0
29,1,1086,95,0,0,0
30,0,1056,107,0,0,0
30,1,1054,101,0,0,0
31,0,1056,82,0,0,0
31,1,1084,58,0,0,0
32,0,1075,108,0,0,0
32,1,598,66,0,0,1
33,0,1055,142,0,0,0
33,1,1115,134,0,0,0
34,0,1085,149,0,0,0
34,1,1084,128,0,0,0
35,0,1086,101,0,0,0
35,1,1086,90,0,0,0
SUMMARY rounds=70 decisions=73377 shots=8281 base_hits=0 clear=3 lost=4 mean_us=13.057 p50_us=6.667 p95_us=70.209 p99_us=98.958 max_us=398.375
